Precio,NCuartos,Area,NBaños,Distrito,Amoblado,Mantenimiento,Cochera,Azotea
458.65,2,60,1,San Miguel,Amoblado: Semi-amoblado,,,no
1100.0,3,105,3,Miraflores,Amoblado: Sin amoblar,330,1,no
1700.0,3,218,2.5,Santiago de Surco,Amoblado: Sin amoblar,790,2,no
2850.0,3,254,3.5,San Isidro,Amoblado: Amoblado,,2,no
850.0,3,75,2,Lince,,180,1,no
3000.0,5,405,5.5,San Borja,Amoblado: Sin amoblar,1,5,no
2000.0,3,276,4,Santiago de Surco,,,,no
1200.0,3,163,3.5,Santiago de Surco,Amoblado: Sin amoblar,450,2,no
850.0,2,120,3,Santiago de Surco,Amoblado: Sin amoblar,400,2,no
416.96,3,70,2,La Molina,Amoblado: Sin amoblar,120,1,no
444.75,1,80,1,Magdalena del Mar,Amoblado: Sin amoblar,,,si
1600.0,3,190,3.5,Santiago de Surco,Amoblado: Sin amoblar,660,2,no
1150.0,2,100,2,Miraflores,Amoblado: Sin amoblar,350,1,no
2200.0,3,365,3.5,Santiago de Surco,Amoblado: Sin amoblar,1,3,no
1000.0,2,55,2.5,Barranco,Amoblado: Amoblado,300,1,no
850.0,2,100,2,Miraflores,Amoblado: Sin amoblar,350,2,no
750.0,1,51,2,San Isidro,Amoblado: Amoblado,300,2,no
1100.0,2,100,3,Miraflores,Amoblado: Sin amoblar,500,2,no
850.0,3,92,2,Miraflores,Amoblado: Amoblado,650,2,no
750.0,1,50,1.5,Barranco,Amoblado: Amoblado,170,1,no
750.0,1,54,1,San Isidro,Amoblado: Amoblado,300,2,no
850.0,1,76,2,Miraflores,Amoblado: Amoblado,300,1,no
750.0,1,52,,Barranco,Amoblado: Amoblado,,,no
700.0,2,57,2,Lince,Amoblado: Amoblado,140,,no
1400.0,3,230,3.5,Santiago de Surco,Amoblado: Semi-amoblado,820,2,no
750.0,1,48,1,San Isidro,Amoblado: Amoblado,250,1,no
1800.0,4,222,3.5,San Isidro,,780,2,no
1350.0,3,180,2.5,Miraflores,Amoblado: Sin amoblar,540,,no
850.0,3,110,3,La Molina,,1,,no
700.0,2,124,1.5,Santiago de Surco,Amoblado: Sin amoblar,,1,no
850.0,2,100,2,Santiago de Surco,Amoblado: Amoblado,350,1,si
472.55,3,92,3,Santiago de Surco,Amoblado: Sin amoblar,130,,no
1100.0,3,180,3,Santiago de Surco,Amoblado: Semi-amoblado,480,2,no
1350.0,3,160,2.5,Santiago de Surco,Amoblado: Amoblado,500,2,no
800.0,3,82,2,Surquillo,Amoblado: Sin amoblar,150,1,no
900.0,1,100,2,San Isidro,Amoblado: Semi-amoblado,,2,no
747.74,3,90,2,Miraflores,Amoblado: Amoblado,380,1,no
778.32,3,146,3,Santiago de Surco,Amoblado: Sin amoblar,250,1,no
520.0,1,40,1,Jesus Maria,Amoblado: Sin amoblar,80,1,si
285000.0,3,153,2,San Borja,Amoblado: Amoblado,500,1,no
333.56,2,51,2,Los Olivos,Amoblado: Semi-amoblado,137,,no
1300.0,3,160,2.5,La Molina,Amoblado: Amoblado,250,2,no
900.0,2,84,2,Miraflores,Amoblado: Amoblado,330,1,no
600.0,1,60,1,Miraflores,Amoblado: Amoblado,230,1,no
694.93,3,90,2,San Miguel,Amoblado: Amoblado,350,1,no
305.77,3,82,2,Los Olivos,Amoblado: Sin amoblar,,1,si
1050.0,3,187,3,Miraflores,Amoblado: Amoblado,,1,no
525.36,1,50,1,Miraflores,Amoblado: Amoblado,220,1,no
950.0,3,114,3,Miraflores,Amoblado: Amoblado,320,1,no
880.0,2,100,2,Santiago de Surco,Amoblado: Sin amoblar,295,1,no
980.0,4,238,3.5,Santiago de Surco,Amoblado: Sin amoblar,,,si
667.13,2,100,1,San Borja,Amoblado: Sin amoblar,300,1,no
1190.0,1,92,2,Barranco,Amoblado: Amoblado,500,1,no
650.0,2,71,2,La Molina,Amoblado: Sin amoblar,150,1,no
1500.0,3,145,3,San Isidro,Amoblado: Amoblado,430,1,no
820.01,3,110,4,Miraflores,Amoblado: Sin amoblar,320,1,no
65.0,3,115,2,Miraflores,Amoblado: Amoblado,,,no
1500.0,3,209,4,Santiago de Surco,Amoblado: Amoblado,900,4,no
950.0,2,100,2,Miraflores,Amoblado: Amoblado,550,2,no
514.24,1,75,1,Santiago de Surco,Amoblado: Sin amoblar,350,,no
486.45,3,95,2,Santiago de Surco,Amoblado: Sin amoblar,150,,no
750.0,1,73,1,Barranco,Amoblado: Amoblado,360,1,no
389.16,1,65,1,Magdalena del Mar,Amoblado: Sin amoblar,100,,no
525.36,2,7,2,Miraflores,Amoblado: Amoblado,150,1,no
667.13,2,100,1,San Borja,Amoblado: Sin amoblar,,,no
250.17,2,90,1,San Juan de Lurigancho,Amoblado: Sin amoblar,,,si
439.19,1,40,1,Cercado de Lima,Amoblado: Sin amoblar,100,1,no
694.93,3,105,4,Miraflores,Amoblado: Amoblado,390,1,no
250.17,2,90,1,San Juan de Lurigancho,Amoblado: Sin amoblar,,,si
830.0,3,140,3,Miraflores,Amoblado: Sin amoblar,200,1,no
1100.0,3,163,2,Santiago de Surco,,,2,no
1550.0,3,209,5,Santiago de Surco,Amoblado: Amoblado,900,4,no
850.0,2,100,3,Miraflores,Amoblado: Amoblado,600,2,no
1500.0,2,89,2,Miraflores,Amoblado: Amoblado,,1,no
500.35,3,70,2,Lince,Amoblado: Sin amoblar,190,,si
3200.0,3,250,5,San Isidro,Amoblado: Amoblado,900,2,no
1100.0,3,160,4,Santiago de Surco,Amoblado: Sin amoblar,,2,no
1350.0,3,140,3,Miraflores,Amoblado: Amoblado,550,2,no
1700.0,3,253,,Santiago de Surco,Amoblado: Sin amoblar,700,2,no
1100.0,1,80,1,Miraflores,Amoblado: Amoblado,350,2,no
2000.0,5,300,4.5,Santiago de Surco,Amoblado: Sin amoblar,1,3,no
