,Precio,NCuartos,Area,NBaños,Distrito,Amoblado,Cochera,Azotea,zona,con_cochera
214,1200.0,3.0,250.0,2.0,San Isidro,0.0,0.0,0,7,0
215,500.35,3.0,85.0,2.0,San Miguel,0.0,0.0,0,6,0
216,528.14,1.0,64.0,1.0,Miraflores,0.0,1.0,0,7,1
217,550.0,3.0,90.0,2.0,La Molina,0.0,0.0,0,7,0
218,750.0,2.0,90.0,2.0,Miraflores,2.0,1.0,0,7,1
219,1050.0,3.0,120.0,2.0,Miraflores,0.0,0.0,0,7,0
220,500.35,1.0,50.0,1.0,San Isidro,0.0,0.0,0,7,0
221,1323.14,3.0,180.0,3.0,Miraflores,2.0,0.0,0,7,0
222,1800.0,3.0,220.0,3.0,Santiago de Surco,0.0,2.0,0,7,1
223,850.0,2.0,112.0,3.0,Miraflores,2.0,0.0,0,7,0
224,650.0,1.0,65.0,1.0,Miraflores,2.0,0.0,0,7,0
225,900.0,3.0,92.0,3.0,Barranco,0.0,0.0,0,8,0
226,700.0,2.0,150.0,3.0,Miraflores,0.0,0.0,0,7,0
227,444.75,2.0,75.0,1.0,San Miguel,0.0,0.0,0,6,0
228,700.0,1.0,75.0,2.0,Miraflores,1.0,1.0,0,7,1
229,639.33,3.0,100.0,2.0,Jesus Maria,0.0,1.0,0,6,1
230,900.0,2.0,150.0,3.0,Miraflores,2.0,1.0,0,7,1
231,778.32,3.0,105.0,3.0,Miraflores,2.0,1.0,0,7,1
232,750.0,2.0,81.0,2.0,Miraflores,0.0,1.0,0,7,1
233,660.0,3.0,100.0,2.0,Miraflores,2.0,0.0,0,7,0
234,458.65,2.0,60.0,1.0,San Miguel,1.0,0.0,0,6,0
235,1100.0,3.0,105.0,3.0,Miraflores,0.0,1.0,0,7,1
236,1700.0,3.0,218.0,2.5,Santiago de Surco,0.0,2.0,0,7,1
238,850.0,3.0,75.0,2.0,Lince,0.0,1.0,0,6,1
240,2000.0,3.0,276.0,4.0,Santiago de Surco,0.0,0.0,0,7,0
241,1200.0,3.0,163.0,3.5,Santiago de Surco,0.0,2.0,0,7,1
242,850.0,2.0,120.0,3.0,Santiago de Surco,0.0,2.0,0,7,1
243,416.96,3.0,70.0,2.0,La Molina,0.0,1.0,0,7,1
244,444.75,1.0,80.0,1.0,Magdalena del Mar,0.0,0.0,1,6,0
245,1600.0,3.0,190.0,3.5,Santiago de Surco,0.0,2.0,0,7,1
246,1150.0,2.0,100.0,2.0,Miraflores,0.0,1.0,0,7,1
247,2200.0,3.0,365.0,3.5,Santiago de Surco,0.0,3.0,0,7,1
248,1000.0,2.0,55.0,2.5,Barranco,2.0,1.0,0,8,1
